iter	Tweedie:variance_power=1.5
0	2100.529242
1	1998.495137
2	1901.458226
3	1809.175847
4	1721.417223
5	1637.962885
6	1558.604153
7	1483.142563
8	1411.389372
9	1343.165154
10	1278.299239
11	1216.629402
12	1158.001394
13	1102.268518
14	1049.291363
15	998.9373837
16	951.0805377
17	905.6010688
18	862.3851058
19	821.3244798
20	782.3163069
21	745.2628478
22	710.071219
23	676.6531728
24	644.9248032
25	614.8064599
26	586.2223952
27	559.1006397
28	533.3729072
29	508.9741853
30	485.8427802
31	463.9200495
32	443.150227
33	423.480333
34	404.8599641
35	387.2412316
36	370.5783616
37	354.8282388
38	339.9493049
39	325.9020749
40	312.6491787
41	300.1545784
42	288.3839068
43	277.3044176
44	266.884513
45	257.0938638
46	247.9033178
47	239.2851545
48	231.2124443
49	223.6589684
50	216.5993266
51	210.0096254
52	203.8658999
53	198.1452007
54	192.8254248
55	187.8843271
56	183.3017999
57	179.0574357
58	175.130517
59	171.5026397
60	168.1554677
61	165.072151
62	162.2345585
63	159.6264564
64	157.232177
65	155.0354819
66	153.0226564
67	151.1828531
68	149.4998056
69	147.9623265
70	146.5608639
71	145.2833613
72	144.119803
73	143.0598928
74	142.0966
75	141.2209777
76	140.423279
77	139.7006806
78	139.0438159
79	138.4494426
80	137.909721
81	137.4212722
82	136.9788794
83	136.5769238
84	136.2129877
85	135.883261
86	135.5825424
87	135.313639
88	135.0693601
89	134.8464889
90	134.644797
91	134.4644285
92	134.2999495
93	134.1519934
94	134.01815
95	133.8962442
96	133.7860073
97	133.6822966
98	133.5910531
99	133.5091933
100	133.4302131
101	133.3642068
102	133.3054868
103	133.2401385
104	133.1828935
105	133.1237426
106	133.0729832
107	133.0329872
108	132.9994405
109	132.9633954
110	132.9294222
111	132.9059744
112	132.8788511
113	132.8509353
114	132.8245073
115	132.8011105
116	132.7837755
117	132.7679625
118	132.7520408
119	132.7357752
120	132.7229041
121	132.7128767
122	132.7031885
123	132.6946973
124	132.6849434
125	132.6768022
126	132.6688574
127	132.6611418
128	132.6560266
129	132.6502748
130	132.6435689
131	132.635257
132	132.6306094
133	132.6250204
134	132.6214134
135	132.6146839
136	132.6098855
137	132.6054354
138	132.6014128
139	132.5981145
140	132.5955876
141	132.5922132
142	132.5875717
143	132.5856639
144	132.5817053
145	132.5808771
146	132.5778978
147	132.5749713
148	132.5730299
149	132.5713656
150	132.5696525
151	132.567796
152	132.5666389
153	132.5653907
154	132.5641293
155	132.5621656
156	132.5588772
157	132.5578396
158	132.5570041
159	132.5545065
160	132.5513809
161	132.5495652
162	132.5488912
163	132.5477372
164	132.5468075
165	132.5456101
166	132.5433744
167	132.542541
168	132.5407265
169	132.5400849
170	132.5379188
171	132.5372325
172	132.5363554
173	132.5358784
174	132.5353357
175	132.5336211
176	132.5313569
177	132.5301366
178	132.5292515
179	132.5280326
180	132.5276658
181	132.5254177
182	132.5247409
183	132.5244022
184	132.5233111
185	132.5219657
186	132.5215156
187	132.5210666
188	132.520346
189	132.519107
190	132.5178398
191	132.5172565
192	132.5167636
193	132.5164533
194	132.5151867
195	132.5146412
196	132.512798
197	132.5124947
198	132.5121622
199	132.5117604
200	132.5116949
201	132.5106826
202	132.5093032
203	132.5089286
204	132.5079863
205	132.5076579
206	132.506491
207	132.5056932
208	132.5054076
209	132.5050919
210	132.504044
211	132.5037138
212	132.5024402
213	132.5021197
214	132.5014493
215	132.5012698
216	132.500597
217	132.5000752
218	132.4997738
219	132.4994749
220	132.4991608
221	132.4990469
222	132.4989638
223	132.4981003
224	132.4980176
225	132.497743
226	132.4974536
227	132.4972175
228	132.4969584
229	132.4964633
230	132.4959848
231	132.4957459
232	132.4955013
233	132.4947891
234	132.4939304
235	132.4928459
236	132.4923229
237	132.4923118
238	132.4917022
239	132.4915508
240	132.4909018
241	132.4905813
242	132.4899371
243	132.4892689
244	132.4890911
245	132.4889886
246	132.4889448
247	132.4882202
248	132.4875742
249	132.4871012
250	132.4868375
251	132.4857901
252	132.4857204
253	132.4849941
254	132.4848197
255	132.4846004
256	132.4837227
257	132.4832343
258	132.4829688
259	132.482704
260	132.4824712
261	132.4824596
262	132.48169
263	132.4814204
264	132.4811188
265	132.4809989
266	132.4802573
267	132.4791108
268	132.4791088
269	132.4786709
270	132.4779861
271	132.4779294
272	132.4776877
273	132.4772977
274	132.4765346
275	132.4759063
276	132.4758004
277	132.4754524
278	132.4752809
279	132.4752729
280	132.4749226
281	132.474489
282	132.4740928
283	132.4737732
284	132.473529
285	132.4729394
286	132.4724182
287	132.4719113
288	132.4718284
289	132.4716797
290	132.4714755
291	132.471399
292	132.471138
293	132.470938
294	132.4705707
295	132.470565
296	132.469889
297	132.4694364
298	132.4685137
299	132.468113
300	132.4681092
301	132.4677163
302	132.4673906
303	132.4670122
304	132.4665077
305	132.4662513
306	132.4662501
307	132.4660427
308	132.4657863
309	132.4657786
310	132.465474
311	132.4654739
312	132.4647811
313	132.4645666
314	132.4645605
315	132.4643928
316	132.4642139
317	132.4630304
318	132.4629391
319	132.4624853
320	132.4622375
321	132.4619933
322	132.4619893
323	132.4614586
324	132.4610008
325	132.4607551
326	132.460177
327	132.4597496
328	132.4590863
329	132.4582236
330	132.458168
331	132.4581658
332	132.458005
333	132.4575343
334	132.4568646
335	132.4566377
336	132.4566192
337	132.456228
338	132.4560869
339	132.4559534
340	132.4558075
341	132.4557461
342	132.4557135
343	132.4553116
344	132.4552656
345	132.4551829
346	132.4549308
347	132.4540615
348	132.4538231
349	132.4530317
350	132.4529885
351	132.4522756
352	132.4517301
353	132.4510097
354	132.4507894
355	132.4506
356	132.4503437
357	132.449954
358	132.449703
359	132.4495604
360	132.4491844
361	132.4486954
362	132.4481227
363	132.4478816
364	132.4478373
365	132.4476262
366	132.4474181
367	132.4467427
368	132.446594
369	132.4464507
370	132.4462483
371	132.4455649
372	132.445422
373	132.4451664
374	132.444679
375	132.4444207
376	132.4440249
377	132.4437889
378	132.4437601
379	132.4437074
380	132.4436586
381	132.4434212
382	132.4433761
383	132.4426856
384	132.4424092
385	132.4422199
386	132.4420542
387	132.4417011
388	132.4414616
389	132.4412514
390	132.4411473
391	132.4409461
392	132.4407534
393	132.4398355
394	132.4394626
395	132.4390551
396	132.4387626
397	132.4386233
398	132.4384939
399	132.4384862
400	132.438344
401	132.4382806
402	132.4382571
403	132.4380815
404	132.4377702
405	132.4377409
406	132.4375541
407	132.4374986
408	132.4374436
409	132.4372789
410	132.4371853
411	132.4371645
412	132.437087
413	132.4368794
414	132.4361353
415	132.4359573
416	132.4359447
417	132.4359088
418	132.435734
419	132.435518
420	132.4351511
421	132.4346435
422	132.4344545
423	132.4344163
424	132.4343993
425	132.4342116
426	132.4338931
427	132.433696
428	132.433649
429	132.4334668
430	132.4333753
431	132.4333381
432	132.4330638
433	132.4329812
434	132.432717
435	132.432683
436	132.4325701
437	132.432273
438	132.4320014
439	132.431775
440	132.4316244
441	132.4315996
442	132.4314028
443	132.4313826
444	132.4312809
445	132.4309165
446	132.4307531
447	132.4305586
448	132.4300513
449	132.4299569
450	132.4298925
451	132.4296659
452	132.4294133
453	132.429227
454	132.4291992
455	132.4290051
456	132.4288009
457	132.428698
458	132.4285233
459	132.4284384
460	132.4283935
461	132.4282931
462	132.4281431
463	132.4280367
464	132.4278212
465	132.4275783
466	132.427526
467	132.4274539
468	132.4274205
469	132.4270324
470	132.4268092
471	132.4266545
472	132.4264966
473	132.4263755
474	132.4261989
475	132.4259729
476	132.4258482
477	132.4256894
478	132.4255972
479	132.4255231
480	132.425349
481	132.4251533
482	132.4251284
483	132.4249795
484	132.4248674
485	132.4248421
486	132.4247928
487	132.42459
488	132.4241349
489	132.4241033
490	132.4239378
491	132.4237317
492	132.4236318
493	132.4236018
494	132.4232873
495	132.4231645
496	132.4230614
497	132.4229002
498	132.4228538
499	132.4226268
