iter	MAE	RMSE
0	667.9864127	863.6532513
1	667.3168605	862.8554724
2	666.6771629	862.1169957
3	666.092124	861.4660064
4	665.5086317	860.838176
5	665.0041563	860.3161122
6	664.5724225	859.8750005
7	664.1012319	859.4118201
8	663.6482628	858.9827017
9	663.2438014	858.6146942
10	662.8577687	858.2761018
11	662.5325144	857.976484
12	662.1724456	857.6807098
13	661.8677059	857.4224012
14	661.6167886	857.2098437
15	661.4072123	857.0231256
16	661.1090552	856.802905
17	660.8427973	856.5949042
18	660.6289292	856.4284715
19	660.4460253	856.283569
20	660.2123759	856.1187985
21	659.9395228	855.9193194
22	659.8039959	855.7966913
23	659.6856775	855.694269
24	659.5300822	855.5762396
25	659.4338024	855.4924786
26	659.3213024	855.4010989
27	659.2285614	855.3271746
28	659.1244852	855.2534799
29	659.010269	855.1699381
30	658.8119597	855.0489138
31	658.7162272	854.9815757
32	658.6482835	854.9237088
33	658.5861558	854.8732525
34	658.385341	854.7293545
35	658.3136054	854.6737762
36	658.2563283	854.6318147
37	658.2131252	854.5958691
38	658.0600241	854.4299361
39	658.0327551	854.4057071
40	657.9842583	854.3648817
41	657.9548424	854.3402645
42	657.840246	854.2088553
43	657.7988017	854.1708988
44	657.7573967	854.1426348
45	657.666901	854.0864808
46	657.4060152	853.7841033
47	657.3694328	853.75863
48	657.2375944	853.6111365
49	657.2030811	853.5705731
50	657.0764301	853.4315814
51	656.9328794	853.2744611
52	656.9035793	853.2496263
53	656.868353	853.2219321
54	656.783102	853.1347637
55	656.7266985	853.0757389
56	656.6353149	853.0149239
57	656.5906547	852.9844692
58	656.53992	852.9495523
59	656.3683665	852.7747427
60	656.2873034	852.7292981
61	656.2768592	852.7207822
62	656.1203311	852.5629287
63	656.0648993	852.4991961
64	656.0528994	852.4866562
65	655.9418091	852.4128282
66	655.9304671	852.4031042
67	655.9204802	852.3946608
68	655.8715388	852.3582266
69	655.840057	852.3358565
70	655.7177038	852.2172601
71	655.6409658	852.1770664
72	655.6320061	852.1670209
73	655.6230261	852.155947
74	655.5978629	852.1366642
75	655.4304366	852.03416
76	655.295381	851.9626794
77	655.2577475	851.9437881
78	655.0965321	851.8602484
79	655.008079	851.7750978
80	654.8335103	851.6404012
81	654.8256411	851.6305326
82	654.8207809	851.6241343
83	654.8153563	851.617972
84	654.8083242	851.6106659
85	654.6403023	851.4487922
86	654.5366852	851.3577904
87	654.512752	851.3388138
88	654.3942885	851.21292
89	654.3210694	851.1341616
90	654.1691108	851.0452647
91	654.1624864	851.0391615
92	654.1320475	851.0143651
93	654.1265059	851.009915
94	654.1218652	851.0021576
95	654.101251	850.9882242
96	653.9721982	850.9073729
97	653.965816	850.9019814
98	653.9630605	850.8993417
99	653.9038145	850.830923
100	653.8314582	850.7679295
101	653.8278538	850.7626047
102	653.7435552	850.6936047
103	653.7412316	850.6920626
104	653.6139787	850.6292199
105	653.5256179	850.5566189
106	653.5157856	850.5481505
107	653.5149507	850.5475313
108	653.3898673	850.4881323
109	653.3141737	850.4399336
110	653.2826277	850.4163998
111	653.2801181	850.4134411
112	653.2760605	850.4094082
113	653.147672	850.3487809
114	653.0579032	850.3078044
115	653.0490687	850.2969089
