iter	MAE	RMSE
0	667.9864127	863.6532513
1	667.3168605	862.8554724
2	666.6771629	862.1169957
3	666.092124	861.4660064
4	665.5086317	860.838176
5	665.0041563	860.3161122
6	664.5724225	859.8750005
7	664.1012319	859.4118201
8	663.6482628	858.9827017
9	663.2438014	858.6146942
10	662.8577687	858.2761018
11	662.5325144	857.976484
12	662.1724456	857.6807098
13	661.8677059	857.4224012
14	661.6167886	857.2098437
15	661.4072123	857.0231256
16	661.1090552	856.802905
17	660.8427973	856.5949042
18	660.6289292	856.4284715
19	660.4460253	856.283569
20	660.2123759	856.1187985
21	659.9395228	855.9193194
22	659.8039959	855.7966913
23	659.6856775	855.694269
24	659.5300822	855.5762396
25	659.4338024	855.4924786
26	659.3213024	855.4010989
27	659.2285614	855.3271746
28	659.1244852	855.2534799
29	659.010269	855.1699381
30	658.8119597	855.0489138
31	658.7162272	854.9815757
32	658.6482835	854.9237088
33	658.5861558	854.8732525
34	658.385341	854.7293545
35	658.3136054	854.6737762
36	658.2563283	854.6318147
37	658.2131252	854.5958691
38	658.0600241	854.4299361
39	658.0327551	854.4057071
40	657.9842583	854.3648817
41	657.9548424	854.3402645
42	657.840246	854.2088553
43	657.7988017	854.1708988
44	657.7573967	854.1426348
45	657.666901	854.0864808
46	657.4060152	853.7841033
47	657.3694328	853.75863
48	657.2375944	853.6111365
49	657.2030811	853.5705731
50	657.0764301	853.4315814
